background,intro,minor,major
Ancient Heirloom,"You've either inherited an ancient artifact, or acquired it under unusual circumstances.","Minor (cost 1 BP): Choose an item in your character's starting equipment. That item either grants you a +10 magical Item Modifier to a specific skill, acts as a +1 Magical Focus, or lets you cast a First Weave Spell of your choosing twice a day. Give it a name, an origin, and record it on your character sheet.","Major (cost 3 BPs): The item also lets you cast a Spell up to the Third Weave twice a day, or a Fifth Weave Spell once a day. However, the item is either stolen, or sought by the Darkmaster."
Assassin,You have been trained in the deadly arts by a master assassin.,"Minor (cost 1 BP): Write your Allegiance about your ties to your old master. You gain one rank in the Stealth Skill, and a special +20 bonus to your Nature Skill Rolls when identifying, using, or preparing poisons.","Major (cost 3 BPs): Additionally, when you attack a Surprised foe with a ranged weapon, you can treat that weapon as if it had the Backstab Quality, provided that your target is within the Base Range of your weapon."
Bard of Ancient Tales,"You have been taught the Ancient Tales of your Kin: tales of heroes, gods, monsters, and mighty deeds, and you use this knowledge to your advantage.","Minor (cost 1 BP): You gain a +10 bonus to your Songs & Tales Skill, and whenever you Help one of your companions, you always add the number of your Songs & Tales ranks (not the Skill Bonus) to the Helping bonus you grant. For example, if you have 12 ranks in the Songs & Tales Skill, when you successfully Help one of your companions, you grant them a total bonus of +22 (+10 for the Helping Roll, and +12 for your ranks in Songs & Tales).","Major (cost 3 BPs): Additionally, when you are in a safe environment with your companions, if there is no unspent Bardic Inspiration Token in play, you may take some time to tell them a tale or sing them a song about a situation similar to the one you're facing. After you've done so, you create a Bardic Inspiration Token (use a glass bead or similar to represent it). Any character that listened to you can spend a Bardic Inspiration Token to gain a bonus equal to your Songs & Tales ranks (not the Skill Bonus) to any Skill, Attack, or Save Roll, even after they've rolled the dice. Once used, the Bardic Inspiration Token is discarded."
Battle Hardened,"You survived many battles, and carry their scars on your body, proving your valor and your worth as a seasoned warrior.","Minor (cost 1 BP): You have an impressive scar somewhere on your body; describe it. Increase your starting HPs by 15, and the Max HP for your Kin by 10.",Major (cost 3 BPs): You also never suffer the penalty for being Bruised.
Born to Saddle,Your riding ability is renowned among your people.,"Minor (cost 1 BP): You gain a superior riding breed of your choice, appropriate for your culture and kin, and a special +10 to your Riding Rolls. Give your mount a name and record it on your character sheet.",Major (cost 3 BPs): You also gain the special ability to automatically pass Riding Rolls during a mounted battle.
Burglar,"You are trained as a professional burglar, or expert treasure-hunter, if you prefer. Your services are usually sought by those who'd like to acquire precious (and often carefully guarded) items with a certain discretion.","Minor (cost 1 BP): You gain one rank in Stealth and one rank in Locks & Traps. Additionally, you can always eyeball the approximate value of any precious item you see, even with a single glance.","Major (3 BPs): Moreover, whenever you attack an opponent bare-handed or using a Hand weapon, you may use a Free Action to make a Stealth Roll. If you succeed, you may pilfer a non-fixed small item within your reach, as long as no one is holding or wielding it. However, you've stolen something from someone, and now they'll be hunting you to get it back."
Daredevil,"Let others take ""safe"" choices and worry about the odds. You are a hero; you are meant for greater things and know that often fortune favors the bold.","Minor (cost 1 BP): Whenever you use at least one point of Drive while attempting an action with a Difficulty of Extremely Hard or higher, you get a special +10 bonus to your Roll, in addition to the normal benefits granted by the Drive expense.","Major (cost 3 BPs): Additionally, once per session when you Critically Fail a Heroic or Insane Skill Roll, you gain a Drive Point."
Dark Past,"You once served the Darkmaster or one of His lieutenants, but something or someone made you see the errors of your ways. Now you're one of His fiercest enemies.",Minor (cost 1 BP): Your familiarity with the ways of the Enemy makes it easier for you to see through His ploys. You can cast the Sense Darkness Spell once a day without spending MPs or making a Spell Casting Roll.,"Major (cost 3 BPs): You also gain a special +20 bonus to your Wandering Rolls when you're travelling through Darklands or Blighted Lands. Additionally, once per session, you may ask the GM to reveal a weakness, vulnerability, or idiosyncrasy of a servant of the Darkmaster you're facing. Your past misdeeds, however, are hard to forget, and many still treat you with suspicion, or even outright hostility."
Eccentric,"Other people often tell you that you're strange. Some would take offense to that, but you're proud of what you are.",Minor (cost 1 BP): Choose a Stat in which your Kin has a negative modifier. Increase the total value of that Stat by 5 points.,"Major (cost 3 BPs): Additionally, choose one of your Kin's Special Traits (like the Orcs' Sun Sensitivity Trait). You ignore the effects of that Trait. However, other members of your Kin tend to find you weird or unnatural."
Elven Training,"You have been raised by the Elves, or have lived among them, learning the ways of the Fair Kin.","Minor (cost 1 BP): Choose the Elven community that raised you. You gain the Lore of the Ages Special Trait as if you were a Silver Elf. If you already have this Special Trait, you gain 2 ranks to spend in your Kin Spell Lores as you see fit.","Major (cost 3 BPs): You can also use SWI instead of BRN as a Stat modifier for your Blades Skill, provided you're using a short sword, longsword or scimitar."
Exceptional Training,"You've studied under a renowned mentor, who taught you the secrets of a particular skill.","Minor (cost 1 BP): Name your mentor. You gain 2 ranks in any one Skill of your choice (except Spell Lores), or 5 ranks in a Specialty Skill of your choice. ",Major (cost 2 BPs): Your mentor also left you an item specially tailored to you as a keepsake. This item grants you a +10 Item Modifier to the chosen skill.
Fleet-Footed,"You move like the wind, leaving everyone else behind you. When you run, you can truly show them the meaning of haste.","Minor (cost 1 BP): Increase your Move Rate by 5 meters. You can travel up to 1.5x the normal overland distance per day, as long as you're on foot and Unencumbered or Lightly Encumbered.","Major (cost 3 BPs): Additionally, as long as you're Unencumbered or Lightly Encumbered, you can Disengage as a Free Action and gain a special +20 bonus to your DEF for the rest of the Round if you take a Movement Action."
Geared for Adventure,"Your companions may joke about the quantity of gear you manage to stuff in your backpack, but you know that being prepared always pays well during an adventure.",Minor (cost 1 BP): You can add two items with a Fare of 2 or less (see the Equipment section in the Appendix) or one Fare 3 item to your starting equipment.,"Major (cost 3 BPs): Include something about always being well prepared in your Nature. Additionally, once per session you can spend one point of Drive and a Full Action to rummage through your belongings and pull out a Fare 1 or less piece of equipment that would be useful in your current situation, even if said item isn't written on your character sheet. "
Gifted,"You're known among your kin for your extraordinary might, cunningness, or charm.","Minor (cost 1 BP): Increase the total value of a Stat of your choice by 5. Add a title, moniker, or epithet that describe the trait your known for to your name (e.g.: Tharos the Mighty, Illydriel the Fair, etc).",Major (cost 3 BPs): You can also increase the total value of a Stat of your choice (including the one you've already chosen) by another 5 points.
Greater Fortune,"You come from a wealthy family, or managed to grow in richness and social standing with hard work… or blind luck.","Minor (cost 1 BP): You can raise your starting Wealth Level by one, up to a maximum WL of 4.","Major (cost 3 BPs): Additionally, you're the owner of some land, estate or business. Describe your property and decide where it's located. As long as you can reach it, and you're acquiring something that could be reasonably be provided by it, you can raise your WL by two more levels (up to a maximum WL of 5)."
Healer's Hands,"Some heroes are known for their might in battle, but you know that even a greater strength is required to mend what's broken. Yours are the hands of a healer, casting a pure light in a world besieged by Shadow. ","Minor (cost 1 BP): You gain a special +10 bonus to your Healer Skill, and a +10 bonus to your Nature Skill Rolls to find healing herbs.","Major (cost 3 BPs): Additionally, whenever you treat one of your companions or administer them a healing herb, you may choose one of the following options: have the patient recover a number of HPs equal to your ranks in the Healer Skill (not your Skill bonus); grant them a special bonus to a SR made to resist the effects of a disease or poison equal to double your number of ranks in the Healer Skill; reduce the recovery time of a treated Injury by one day for every 5 ranks you have in the Healer Skill."
Heroic Bloodline,"The blood of heroes runs strongly in your veins. Tales are sung about the mighty deeds of your family, of your ancestors. Now these tales live again, through you.","Minor (cost 1 BP): You can take a Half Action to inspire all the allies that can hear you within a radius of 6 meters, granting them a special bonus of +10 to their Willpower Save Rolls, or a special +5 bonus to their Attack Bonus and Defense for the current Round. ","Major (cost 3 BPs): You can also reveal your ancestry to someone who doesn't know it as a Free Action. When you reveal yourself to someone, you can either gain a +10 bonus to your Attack Rolls against them for the current Round, or get to re-roll a Charisma or Deceive Roll against them with a +20 bonus."
