name,data
Assassin,"[{""name"": ""Assassin"",""type"": ""Trait"",""data"": {""notes"": ""You have been trained in the deadly arts by a master assassin.\n- Minor (cost 1 BP):  Write your Allegiance about your ties to your old master. You gain one rank in the Stealth Skill, and a special +20 bonus to your Nature Skill Rolls when identifying, using, or preparing poisons.\n- Major (cost 3 BPs):  Additionally, when you attack a Surprised foe with a ranged weapon, you can treat that weapon as if it had the Backstab Quality, provided that your target is within the Base Range of your weapon."",""chartype"": ""CharacterVsD"",""category"": ""quirk""}}, {""name"": ""Assassin (Poisons)"",""type"": ""Modifier"",""data"": {""notes"": ""You gain a special +20 bonus to your Nature Skill Rolls when identifying, using, or preparing poisons."",""chartype"": ""CharacterVsD"",""inEffect"": false,""alwaysOn"": false,""attack"": false,""defence"": false,""skill"": true,""spell"": false,""check"": false,""reaction"": false,""damage"": false,""primary"": false,""entries"": {""0"": {""value"": 0,""formula"": """",""category"": ""attack"",""targets"": """"},""1"": {""value"": 20,""formula"": ""20"",""category"": ""skill"",""targets"": ""Nature""}},""tempName"": ""Assassin (Poisons)""}}, {""name"": ""Ranks:  Assassin"",""type"": ""Variable"",""data"": {""notes"": ""You gain one rank in the Stealth Skill."",""chartype"": ""CharacterVsD"",""value"": 0,""formula"": """",""label"": """",""entries"": {""0"": {""value"": null,""formula"": """",""label"": """"},""1"": {""value"": 1,""formula"": ""1"",""label"": ""Stealth""}}}}]"
Bard of Ancient Tales,"[{""name"": ""Bard of Ancient Tales"",""type"": ""Trait"",""data"": {""notes"": ""You have been taught the Ancient Tales of your Kin:  tales of heroes, gods, monsters, and mighty deeds, and you use this knowledge to your advantage.\n- Minor (cost 1 BP):  You gain a +10 bonus to your Songs & Tales Skill, and whenever you Help one of your companions, you always add the number of your Songs & Tales ranks (not the Skill Bonus) to the Helping bonus you grant. For example, if you have 12 ranks in the Songs & Tales Skill, when you successfully Help one of your companions, you grant them a total bonus of +22 (+10 for the Helping Roll, and +12 for your ranks in Songs & Tales).\n- Major (cost 3 BPs):  Additionally, when you are in a safe environment with your companions, if there is no unspent Bardic Inspiration Token in play, you may take some time to tell them a tale or sing them a song about a situation similar to the one you're facing. After you've done so, you create a Bardic Inspiration Token (use a glass bead or similar to represent it). Any character that listened to you can spend a Bardic Inspiration Token to gain a bonus equal to your Songs & Tales ranks (not the Skill Bonus) to any Skill, Attack, or Save Roll, even after they've rolled the dice. Once used, the Bardic Inspiration Token is discarded."",""chartype"": ""CharacterVsD"",""category"": ""quirk""}}, {""name"": ""Bard of Ancient Tales"",""type"": ""Modifier"",""data"": {""notes"": ""You gain a +10 bonus to your Songs & Tales Skill."",""chartype"": ""CharacterVsD"",""inEffect"": false,""alwaysOn"": false,""attack"": false,""defence"": false,""skill"": true,""spell"": false,""check"": false,""reaction"": false,""damage"": false,""primary"": false,""entries"": {""0"": {""value"": 0,""formula"": """",""category"": ""attack"",""targets"": """"},""1"": {""value"": 10,""formula"": ""10"",""category"": ""skill"",""targets"": ""Songs & Tales""}},""tempName"": ""Bard of Ancient Tales""}}]"
Battle Hardened,"[{""name"": ""Battle Hardened"",""type"": ""Trait"",""data"": {""notes"": ""You survived many battles, and carry their scars on your body, proving your valor and your worth as a seasoned warrior.\n- Minor (cost 1 BP):  You have an impressive scar somewhere on your body; describe it. Increase your starting HPs by 15, and the Max HP for your Kin by 10.\n- Major (cost 3 BPs):  You also never suffer the penalty for being Bruised."",""chartype"": ""CharacterVsD"",""category"": ""quirk""}}, {""name"": ""Battle Hardened"",""type"": ""Modifier"",""data"": {""notes"": ""Increase your starting HPs by 15, and the Max HP for your Kin by 10.\n\nMake note of the new Max HP in the Hit Point Pool."",""chartype"": ""CharacterVsD"",""inEffect"": false,""alwaysOn"": false,""attack"": false,""defence"": false,""skill"": true,""spell"": false,""check"": false,""reaction"": false,""damage"": false,""primary"": false,""entries"": {""0"": {""value"": 0,""formula"": """",""category"": ""attack"",""targets"": """"},""1"": {""value"": 15,""formula"": ""15"",""category"": ""skill"",""targets"": ""Body""}},""tempName"": ""Battle Hardened""}}]"
Born to Saddle,"[{""name"": ""Born to Saddle"",""type"": ""Trait"",""data"": {""notes"": ""Your riding ability is renowned among your people.\n- Minor (cost 1 BP):  You gain a superior riding breed of your choice, appropriate for your culture and kin, and a special +10 to your Riding Rolls. Give your mount a name and record it on your character sheet.\n- Major (cost 3 BPs):  You also gain the special ability to automatically pass Riding Rolls during a mounted battle."",""chartype"": ""CharacterVsD"",""category"": ""quirk""}}, {""name"": ""Born to Saddle"",""type"": ""Modifier"",""data"": {""notes"": ""You gain a special +10 to your Riding Rolls."",""chartype"": ""CharacterVsD"",""inEffect"": false,""alwaysOn"": false,""attack"": false,""defence"": false,""skill"": true,""spell"": false,""check"": false,""reaction"": false,""damage"": false,""primary"": false,""entries"": {""0"": {""value"": 0,""formula"": """",""category"": ""attack"",""targets"": """"},""1"": {""value"": 10,""formula"": ""10"",""category"": ""skill"",""targets"": ""Ride""}},""tempName"": ""Born to Saddle""}}]"
Burglar,"[{""name"": ""Burglar"",""type"": ""Trait"",""data"": {""notes"": ""You are trained as a professional burglar, or expert treasure-hunter, if you prefer. Your services are usually sought by those who'd like to acquire precious (and often carefully guarded) items with a certain discretion.\n- Minor (cost 1 BP):  You gain one rank in Stealth and one rank in Locks & Traps. Additionally, you can always eyeball the approximate value of any precious item you see, even with a single glance.\n- Major (3 BPs):  Moreover, whenever you attack an opponent bare-handed or using a Hand weapon, you may use a Free Action to make a Stealth Roll. If you succeed, you may pilfer a non-fixed small item within your reach, as long as no one is holding or wielding it. However, you've stolen something from someone, and now they'll be hunting you to get it back."",""chartype"": ""CharacterVsD"",""category"": ""quirk""}}, {""name"": ""Ranks:  Burglar"",""type"": ""Variable"",""data"": {""notes"": ""You gain one rank in Stealth and one rank in Locks & Traps."",""chartype"": ""CharacterVsD"",""value"": 0,""formula"": """",""label"": """",""entries"": {""0"": {""value"": null,""formula"": """",""label"": """"},""1"": {""value"": 1,""formula"": ""1"",""label"": ""Stealth""},""2"": {""value"": 1,""formula"": ""1"",""label"": ""Locks & Traps""}}}}]"
Dark Past,"[{""name"": ""Dark Past"",""type"": ""Trait"",""data"": {""notes"": ""You once served the Darkmaster or one of His lieutenants, but something or someone made you see the errors of your ways. Now you're one of His fiercest enemies.\n- Minor (cost 1 BP):  Your familiarity with the ways of the Enemy makes it easier for you to see through His ploys. You can cast the Sense Darkness Spell once a day without spending MPs or making a Spell Casting Roll.\n- Major (cost 3 BPs):  You also gain a special +20 bonus to your Wandering Rolls when you're travelling through Darklands or Blighted Lands. Additionally, once per session, you may ask the GM to reveal a weakness, vulnerability, or idiosyncrasy of a servant of the Darkmaster you're facing. Your past misdeeds, however, are hard to forget, and many still treat you with suspicion, or even outright hostility."",""chartype"": ""CharacterVsD"",""category"": ""quirk""}}, {""name"": ""Dark Past (Wandering)"",""type"": ""Modifier"",""data"": {""notes"": ""You gain a special +20 bonus to your Wandering Rolls when you’re travelling through Darklands or Blighted Lands."",""chartype"": ""CharacterVsD"",""inEffect"": false,""alwaysOn"": false,""attack"": false,""defence"": false,""skill"": true,""spell"": false,""check"": false,""reaction"": false,""damage"": false,""primary"": false,""entries"": {""0"": {""value"": 0,""formula"": """",""category"": ""attack"",""targets"": """"},""1"": {""value"": 20,""formula"": ""20"",""category"": ""skill"",""targets"": ""Wandering""}},""tempName"": ""Dark Past (Wandering)""}}]"
Eccentric,"[{""name"": ""Eccentric"",""type"": ""Trait"",""data"": {""notes"": ""Other people often tell you that you're strange. Some would take offense to that, but you're proud of what you are.\n- Minor (cost 1 BP):  Choose a Stat in which your Kin has a negative modifier. Increase the total value of that Stat by 5 points.\n- Major (cost 3 BPs):  Additionally, choose one of your Kin's Special Traits (like the Orcs' Sun Sensitivity Trait). You ignore the effects of that Trait. However, other members of your Kin tend to find you weird or unnatural."",""chartype"": ""CharacterVsD"",""category"": ""quirk""}}, {""name"": ""Eccentric"",""type"": ""Modifier"",""data"": {""notes"": ""Choose a Stat in which your Kin has a negative modifier. Increase the total value of that Stat by 5 points.\n\nEnter the three letter abbreviation for the chosen primary attribute ALL CAPS."",""chartype"": ""CharacterVsD"",""inEffect"": false,""alwaysOn"": false,""attack"": false,""defence"": false,""skill"": false,""spell"": false,""check"": false,""reaction"": false,""damage"": false,""primary"": true,""entries"": {""0"": {""value"": 0,""formula"": """",""category"": ""attack"",""targets"": """"},""1"": {""value"": 5,""formula"": ""5"",""category"": ""primary"",""targets"": ""Primary Attribute ABBR""}},""tempName"": ""Eccentric""}}]"
Elven Training,"[{""name"": ""Elven Training"",""type"": ""Trait"",""data"": {""notes"": ""You have been raised by the Elves, or have lived among them, learning the ways of the Fair Kin.\n- Minor (cost 1 BP):  Choose the Elven community that raised you. You gain the Lore of the Ages Special Trait as if you were a Silver Elf. If you already have this Special Trait, you gain 2 ranks to spend in your Kin Spell Lores as you see fit.\n- Major (cost 3 BPs):  You can also use SWI instead of BRN as a Stat modifier for your Blades Skill, provided you're using a short sword, longsword or scimitar."",""chartype"": ""CharacterVsD"",""category"": ""quirk""}}, {""name"": ""Ranks:  Elven Training"",""type"": ""Variable"",""data"": {""notes"": ""Divide two ranks between these two spell lores."",""chartype"": ""CharacterVsD"",""value"": 1,""formula"": ""1"",""label"": ""Elven Lore"",""entries"": {""0"": {""value"": 0,""formula"": """",""label"": """"},""1"": {""value"": 1,""formula"": ""1"",""label"": ""Elven Lore""},""2"": {""value"": 1,""formula"": ""1"",""label"": ""Spell Songs""}}}}]"
Exceptional Training,"[{""name"": ""Exceptional Training"",""type"": ""Trait"",""data"": {""notes"": ""You've studied under a renowned mentor, who taught you the secrets of a particular skill.\n- Minor (cost 1 BP):  Name your mentor. You gain 2 ranks in any one Skill of your choice (except Spell Lores), or 5 ranks in a Specialty Skill of your choice. \n- Major (cost 2 BPs):  Your mentor also left you an item specially tailored to you as a keepsake. This item grants you a +10 Item Modifier to the chosen skill."",""chartype"": ""CharacterVsD"",""category"": ""quirk""}}, {""name"": ""Exceptional Training (Item)"",""type"": ""Modifier"",""data"": {""notes"": ""You have an item that grants a +10 bonus to the named skill."",""chartype"": ""CharacterVsD"",""inEffect"": false,""alwaysOn"": false,""attack"": false,""defence"": false,""skill"": true,""spell"": false,""check"": false,""reaction"": false,""damage"": false,""primary"": false,""entries"": {""0"": {""value"": 0,""formula"": """",""category"": ""attack"",""targets"": """"},""1"": {""value"": 10,""formula"": ""10"",""category"": ""skill"",""targets"": ""Skill Name""}},""tempName"": ""Exceptional Training (Item)""}}, {""name"": ""Ranks:  Exceptional Training"",""type"": ""Variable"",""data"": {""notes"": ""Enter the name of the specialty skill or regular skill and delete the other."",""chartype"": ""CharacterVsD"",""value"": 4,""formula"": ""4"",""label"": ""Armor"",""entries"": {""0"": {""value"": 0,""formula"": """",""label"": """"},""1"": {""value"": 2,""formula"": ""2"",""label"": ""skill name""},""2"": {""value"": 0,""formula"": ""5"",""label"": ""special skill name""}}}}]"
Fleet-Footed,"[{""name"": ""Fleet-Footed"",""type"": ""Trait"",""data"": {""notes"": ""You move like the wind, leaving everyone else behind you. When you run, you can truly show them the meaning of haste.\n- Minor (cost 1 BP):  Increase your Move Rate by 5 meters. You can travel up to 1.5x the normal overland distance per day, as long as you're on foot and Unencumbered or Lightly Encumbered.\n- Major (cost 3 BPs):  Additionally, as long as you're Unencumbered or Lightly Encumbered, you can Disengage as a Free Action and gain a special +20 bonus to your DEF for the rest of the Round if you take a Movement Action."",""chartype"": ""CharacterVsD"",""category"": ""quirk""}}, {""name"": ""Fleet-Footed"",""type"": ""Modifier"",""data"": {""notes"": ""As long as you are Unencumbered or Lightly Encumbered, you can Disengage as a Free Action and gain a special +20 bonus to your DEF for the rest of the Round if you take a Movement Action."",""chartype"": ""CharacterVsD"",""inEffect"": false,""alwaysOn"": false,""attack"": false,""defence"": false,""skill"": false,""spell"": false,""check"": false,""reaction"": true,""damage"": false,""primary"": false,""entries"": {""0"": {""value"": 0,""formula"": """",""category"": ""attack"",""targets"": """"},""1"": {""value"": 20,""formula"": ""20"",""category"": ""reaction"",""targets"": ""Melee, Missile""}},""tempName"": ""Fleet-Footed""}}]"
