name,description
Animal Empathy," Your Kin’s connection with the spirits of Nature grant them a basic understanding of animal behaviour. They instinctively understand the emotional state (nervous, hungry, afraid, etc) displayed by any animal they see. This does not extend to beast-like monsters or animals under any kind of magical influence, which will simply feel “wrong” to any of your Kin observing them."
Aversion to Iron," Your Kin avoid touching or wearing iron and other metals on their bare skin, as doing so causes them an unpleasant sensation of cold and numbness. They suffer double the normal Action Penalties for wearing metal armor."
Bloodhound," Your Kin are master trackers and their noses are incredibly sensitive. They gain a +25 bonus to Hunting Rolls made to track their prey, and a +10 to their Perception skill."
Dark Sight, Your Kin can see up to 30 m in Dim Light (treating the first 15 m as if they were standing in Bright Light); and up to 3 m in Total Darkness.
Diminutive, Your Kin are of Small Size and count only as half a group member (rounding up) for the purpose of calculating their group’s size when Camping.
Doomed," Because of the Darkmaster’s curse, all of your Kin have an additional Passion called Doom. Players must generate their character’s Doom by rolling on the Doom Table [p42]. Doom works exactly like any other Passion, but cannot be changed unless the Darkmaster is defeated. When facing a situation concerning their Doom, your Kin suffer a -20 penalty to all their Rolls and add 20 to the result of any Critical Strike they receive. "
Elven Ancestry," Your Kin are incredibly long lived, if they ever die of old age at all. They are very resistant to disease (+50 to their Toughness Save Rolls against sickness and disease), and impervious to the effects of natural cold (gaining a +5 bonus against any Cold-based threat). Additionally, they need to sleep for only 4 hours to gain the benefits of a night’s rest."
Fair and Wise, Your Kin must assign one of their two highest Stat Values to their Bearing before Kin Modifiers are applied. They also get a special +10 bonus to their Songs & Tales and Charisma Skills.
Feral Predator," Your Kin gain a +20 bonus to their Hunting and Wandering Skills, as well as to all their Stealth Rolls in any natural environment."
Fire-Hardened, Your Kin get a +15 bonus to their Save Rolls and Defense against heat and flame.
Flame-Hardened, Your Kin get a +30 bonus to their Save Rolls and Defense against heat and flame.
Forgekin," Your Kin get a +30 bonus to their Save Rolls and Defense against heat and cold attacks, and to all their Rolls to work metals, stone, and gems, and to craft items using these materials. Additionally, any metal item successfully created by them will always be at least of High Quality."
Giantkin, Your Kin are Large in Size and reduce any Critical Strike they receive by one Severity degree (Criticals reduced under the Superficial Severity are ignored altogether).
Hulking Brute, Your Kin are Large in Size and reduce any Critical Strike they receive by one Severity degree (Criticals reduced under the Superficial Severity are ignored altogether). They also ignore any Stun result when receiving a critical from a non-magical attack.
Immortal," Your Kin do not age, are immune to disease, and are resistant to the effects of natural cold (gaining a +10 bonus against any Cold-based threat). They don’t need to sleep, and will gain the benefits of a night’s rest simply by meditating for 3 hours."
Imposing, Your Kin get a +15 bonus to their Charisma Skill.
Keen Senses," Your Kin have superior senses that grant them a special +10 bonus to their Perception Skill. Additionally, they can see in natural moonlight or starlight as if it were day, and up to 30m in Dim Light (treating the first 15 m as if they were standing in Bright Light)."
Keen Sight, Your Kin have an excellent eye-sight. They gain a +15 bonus to all sight-related Perception Rolls and reduce Range penalties for their ranged attacks by 5 points.
Light-Footed," Rough Terrain does not affect the movements of your Kin, as long as they are unencumbered and wearing light or no armor. Additionally, each counts only as half a group member (rounding up) for the purpose of calculating their group’s size when Camping."
Lithe and Graceful," Your Kin must assign one of their three highest Stat Values to their Bearing before Kin Modifiers are applied. They get a +10 bonus to their Acrobatics skill, and a +20 bonus to their Stealth Rolls in any natural environment."
Lore of the Ages, Your Kin gain access to two Kin Spell Lores: Elven Lore and Spell Songs (see Magic chapter for more information about Kin Spell Lores). They also gain 2 ranks to distribute among these Spell Lores as they see fit.
Night Sight," Your Kin can see in natural moonlight or starlight as if it were day, and up to 30 m in Dim Light (treating the first 15 m as if they were standing in Bright Light). They can see up to 3 m even in Total Darkness."
Nimble, Your Kin get a special +20 bonus to their Stealth and Acrobatic Skills.
Rending Claws, Your Kin’s unarmed attacks are treated like Large Claws and resolved on the Beast Attack Table.
Second Breakfast," Your Kin double their HP recovery for the day if they manage to have a lavish meal (a real meal, not rations!) before resting."
Shipwrights," Your Kin are renowned sailors, and gain a +20 bonus to all their Rolls made to build, repair, or pilot ships."
Sneaky," Despised both by Orcs and Men, your Kin quickly learn to avoid unwanted attention. They get a special +10 bonus to their Stealth skill."
Specialization, Your Kin get a +10 bonus to any one Skill of their choice.
Star Sight," Your Kin can see in natural moonlight or starlight as if it were day, and up to 30 m in Dim Light (treating the first 15m as if they were standing in Bright Light)."
Star-Blessed," The fairest of all the Elven kindred, your Kin must assign their highest Stat Value to their Bearing before Kin Modifiers are applied. They also get a special +20 bonus to their Arcana, Songs & Tales, and Charisma skills."
Stone Skin, Your Kin’s bare skin counts as Light Armor.
Stoneborn," Your Kin cannot swim, but get a +20 bonus to their Nature and Wandering Rolls while underground."
Sun Cursed," Your Kin are blinded by daylight (suffering a -30 penalty to all their actions) and immediately turn to stone if exposed to direct sunlight. While in this state, they’re essentially stone statues: they cannot take Actions and are oblivious to their surroundings; they don’t need to breathe and are impervious to most attacks. They’re treated as resting for healing purposes, doubling their HPs recovery rate. The effects of any form of Bleeding, poison, or disease from which they are suffering are temporarily halted. They revert to their original state once they’re no longer exposed to sunlight."
Sun Sensitivity, Your Kin loathe sunlight. They’re almost blind in full daylight (suffering a -60 penalty to all their actions) and find difficult to get around even on cloudy days or during dusk and dawn (-20 to their activities in these cases).
Superstitious," Your Kin can’t be Wizards, Champions or Dabblers."
Sure-Shot, Your Kin get a special +10 bonus to their Ranged Skill.
Wicked Artifice," While your Kin seldom make beautiful things, they often create clever mechanisms and contraptions. They gain a special +15 bonus to their Locks & Traps Skill."
Woodcrafty," Your Kin get a special +15 bonus to their Nature and Wandering Rolls to forage and navigate in woods, forests, jungles, and similar terrains. Additionally, each counts only as half a group member (rounding up) for the purpose of calculating their group’s size when Camping."
