name,hands,skill,clumsy,length,attack,max,crit,range,qualities,skillname,attacktable,crittable,formula
Arming Sword,1H,Blades,3,Long,Edged,140,Cut,-,Martial,Blades,7.1 Edged Attack Table,7.10 Cut Critical Strikes Table,@blades
Armored Fist,1H,Brawl,1,Hand,Unarmed,120,Impact,-,90/120/140/150/175,Brawl,7.4 Unarmed/Grapple Attack Table,7.9 Impact Critical Strikes Table,@brawl
Ball & Chain,1H,Blunt,8,Short,Blunt,150,Impact,-,Unreliable,Blunt,7.2 Blunt Attack Table,7.9 Impact Critical Strikes Table,@blunt
Bardiche,2H,Polearm,7,Longest,Edged,175,Cut,-,"Reach, Mighty",Polearm,7.1 Edged Attack Table,7.10 Cut Critical Strikes Table,@polearm
Bardiche,2H,Polearm,7,Longest,Edged,175,Pierce,-,"Reach, Mighty",Polearm,7.1 Edged Attack Table,7.11 Pierce Critical Strikes Table,@polearm
Battle Axe,1H,Blunt,5,Long,Edged,150,Cut,-,Hand and Half,Blunt,7.1 Edged Attack Table,7.10 Cut Critical Strikes Table,@blunt
Battle Axe,1H,Blades -20,5,Long,Edged,150,Impact,-,Hand and Half,Blades,7.1 Edged Attack Table,7.9 Impact Critical Strikes Table,@blades -20
Battle Axe,1H,Blunt,5,Long,Edged,150,Impact,-,Hand and Half,Blunt,7.1 Edged Attack Table,7.9 Impact Critical Strikes Table,@blunt
Battle Axe,1H,Blades -20,5,Long,Edged,150,Cut,-,Hand and Half,Blades,7.1 Edged Attack Table,7.10 Cut Critical Strikes Table,@blades -20
Club,1H,Blunt,4,Hand,Blunt,110,Impact,-,,Blunt,7.2 Blunt Attack Table,7.9 Impact Critical Strikes Table,@blunt
Dagger,1H,Brawl,1,Hand,Edged,120,Pierce,-,Backstab,Brawl,7.1 Edged Attack Table,7.11 Pierce Critical Strikes Table,@brawl
Dagger,1H,Blades,1,Hand,Edged,120,Pierce,-,Backstab,Blades,7.1 Edged Attack Table,7.11 Pierce Critical Strikes Table,@blades
Falchion,1H,Blades,5,Short,Edged,150,Cut,-,Martial,Blades,7.1 Edged Attack Table,7.10 Cut Critical Strikes Table,@blades
Flail,2H,Blunt,8,Long,Blunt,175,Impact,-,"Unrealiable, Heavy, Mighty",Blunt,7.2 Blunt Attack Table,7.9 Impact Critical Strikes Table,@blunt
Footman's Mace,2H,Blunt,5,Long,Blunt,150,Impact,-,"Heavy, Mighty, Martial",Blunt,7.2 Blunt Attack Table,7.9 Impact Critical Strikes Table,@blunt
Grappling,2H,Brawl,5,Hand,Unarmed,120,Grapple,-,80/120/140/150/175,Brawl,7.4 Unarmed/Grapple Attack Table,7.12 Grapple Critical Strikes Table,@brawl
Greataxe,2H,Polearms,6,Long,Edged,175,Cut,-,"Heavy, Mighty",Polearms,7.1 Edged Attack Table,7.10 Cut Critical Strikes Table,@polearms
Greataxe,2H,Blunt -10,6,Long,Edged,175,Impact,-,"Heavy, Mighty",Blunt,7.1 Edged Attack Table,7.9 Impact Critical Strikes Table,@blunt -10
